id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
3921,6.8,0.645,0.11,1.9,0.071,5.0,16.0,0.9955,3.51,0.64,9.4,5.0
3922,7.9,0.52,0.18,2.1,0.064,8.0,30.0,0.9978,3.6,0.63,9.9,6.0
3923,7.8,0.31,0.31,1.8,0.077,24.0,52.0,0.9978,3.16,0.59,9.6,5.0
3924,8.2,0.51,0.24,1.9,0.079,10.0,42.0,0.997,3.29,0.43,9.5,6.0
3925,6.7,0.74,0.01,1.9,0.079,8.0,28.0,0.99774,3.39,0.49,9.6,5.0
3926,7.7,0.61,0.0,2.0,0.08,7.0,17.0,0.998,3.31,0.76,10.1,6.0
3927,9.3,0.47,0.49,1.9,0.0969999999999999,12.0,86.0,0.9994,3.16,1.14,9.3,5.0
3928,8.2,0.34,0.2,2.6,0.075,7.0,17.0,0.99586,3.31,0.63,10.6,6.0
3929,10.2,0.6,0.5,2.5,0.065,8.0,20.0,0.9972,3.27,0.61,9.3,4.0
3930,9.2,0.51,0.28,1.7,0.08,35.0,125.0,0.9978,3.22,0.56,9.5,7.0
3931,7.1,0.725,0.12,2.2,0.074,8.0,22.0,0.9964,3.38,0.56,9.4,6.0
3932,11.2,0.39,0.49,1.9,0.042,5.0,18.0,0.9963,3.17,0.55,10.1,6.0
3933,11.2,0.31,0.49,1.8,0.079,16.0,35.0,0.99458,3.21,0.71,11.1,7.0
3934,7.0,0.39,0.24,1.6,0.077,41.0,54.0,0.9965,3.38,0.44,9.2,5.0
3935,7.4,0.78,0.0,2.4,0.079,34.0,60.0,0.99708,3.59,0.67,10.4,6.0
3936,6.8,0.48,0.21,2.2,0.0819999999999999,3.0,10.0,0.99458,3.33,0.61,11.2,5.0
3937,7.5,0.34,0.32,1.7,0.077,5.0,13.0,0.9976,3.39,0.56,10.5,5.0
3938,7.4,0.41,0.35,1.8,0.077,19.0,40.0,0.9967,3.16,0.55,9.5,5.0
3939,11.1,0.49,0.43,2.6,0.083,3.0,10.0,0.9994,3.34,0.54,11.0,7.0
3940,7.0,0.41,0.21,1.9,0.098,10.0,27.0,0.9958,3.42,0.71,9.3,5.0
3941,7.2,0.64,0.26,2.0,0.077,25.0,61.0,0.99672,3.38,0.68,9.3,6.0
3942,7.3,0.34,0.48,2.2,0.074,7.0,25.0,0.9973,3.16,0.6,9.6,6.0
3943,7.4,0.6,0.26,2.2,0.071,26.0,60.0,0.99584,3.27,0.66,10.0,5.0
3944,7.3,0.49,0.32,2.8,0.079,7.0,28.0,0.9982,3.29,0.6,9.7,5.0
3945,6.7,0.725,0.0,2.3,0.065,10.0,23.0,0.99774,3.51,0.74,11.0,7.0
3946,7.1,0.35,0.42,2.3,0.092,15.0,43.0,0.9972,3.34,0.57,9.3,6.0
3947,7.7,0.58,0.03,1.9,0.08,5.0,12.0,0.9964,3.16,0.62,11.4,6.0
3948,7.9,0.32,0.59,2.8,0.0969999999999999,11.0,45.0,0.99584,3.32,0.58,9.8,5.0
3949,7.6,0.6,0.05,1.9,0.077,5.0,16.0,0.99786,3.39,0.54,11.8,6.0
3950,10.9,0.55,0.39,2.8,0.074,10.0,24.0,0.9986,3.26,0.84,9.9,8.0
3951,6.9,0.64,0.26,2.0,0.106,10.0,23.0,0.99732,3.42,0.57,10.0,7.0
3952,7.2,0.53,0.15,2.4,0.083,11.0,25.0,0.99458,3.46,0.49,9.5,5.0
3953,10.0,0.43,0.44,5.1,0.077,9.0,23.0,1.00012,3.2,0.6,11.8,7.0
3954,7.1,0.67,0.0,2.0,0.076,12.0,20.0,0.99746,3.54,0.58,11.4,7.0
3955,7.9,0.31,0.28,2.2,0.07,41.0,52.0,0.9948,3.21,0.63,9.5,5.0
3956,7.9,0.41,0.31,2.3,0.083,5.0,20.0,0.99476,3.29,0.64,9.4,5.0
3957,7.8,0.57,0.05,2.2,0.071,22.0,33.0,0.9974,3.3,0.67,9.6,5.0
3958,7.2,0.56,0.21,1.7,0.104,27.0,63.0,0.99546,3.18,0.8,9.5,5.0
3959,7.1,0.39,0.48,1.9,0.073,12.0,49.0,0.9976,3.3,0.88,9.2,6.0
3960,7.1,0.36,0.24,1.8,0.072,11.0,45.0,0.99652,3.38,0.68,9.4,5.0
3961,13.0,0.55,0.51,2.1,0.081,7.0,20.0,0.99518,3.07,0.62,9.7,7.0
3962,11.0,0.65,0.45,2.1,0.067,6.0,33.0,0.9956,3.25,0.61,11.5,7.0
3963,8.9,0.22,0.49,1.8,0.089,5.0,20.0,0.9994,3.22,0.77,9.3,7.0
3964,6.6,0.73,0.08,2.2,0.074,10.0,22.0,0.99655,3.36,0.58,9.5,6.0
3965,8.4,0.6,0.29,2.4,0.07,14.0,49.0,0.99458,3.18,0.56,9.5,4.0
3966,7.5,0.37,0.36,6.4,0.119,25.0,105.0,0.99538,3.41,0.6,9.7,6.0
3967,8.0,0.31,0.36,2.2,0.077,9.0,37.0,0.9962,3.22,0.48,10.1,5.0
3968,8.4,0.58,0.31,2.5,0.115,4.0,15.0,0.9962,3.32,0.54,10.5,5.0
3969,7.1,0.58,0.08,2.5,0.0969999999999999,5.0,16.0,0.9956,3.18,0.55,9.0,5.0
3970,10.2,0.28,0.54,1.8,0.089,6.0,12.0,0.9987,3.31,0.58,10.4,5.0
3971,9.2,0.31,0.45,2.1,0.084,14.0,47.0,0.99584,3.2,0.6,11.9,6.0
3972,8.9,0.54,0.36,2.3,0.071,32.0,44.0,0.9948,3.16,0.68,11.5,5.0
3973,8.7,0.59,0.12,2.4,0.1159999999999999,34.0,60.0,0.9986,3.21,0.55,9.3,7.0
3974,12.0,0.54,0.56,4.1,0.083,8.0,47.0,0.99668,3.05,0.59,11.9,7.0
3975,7.2,0.66,0.1,1.5,0.068,14.0,46.0,0.9968,3.2,0.56,12.4,7.0
3976,7.8,0.49,0.21,2.6,0.067,27.0,67.0,0.9987,3.37,0.54,9.3,6.0
3977,8.8,0.69,0.04,2.2,0.071,8.0,22.0,0.9977,3.38,0.6,11.7,7.0
3978,7.0,0.5,0.09,2.8,0.079,15.0,81.0,0.9971,3.26,0.7,9.3,6.0
3979,6.1,0.685,0.0,2.2,0.083,15.0,44.0,0.9988,3.56,0.81,9.2,5.0
3980,8.0,0.51,0.49,2.0,0.1009999999999999,26.0,58.0,1.0004,2.92,0.69,9.2,6.0
3981,6.4,0.59,0.04,2.1,0.074,19.0,54.0,0.9978,3.58,0.67,10.4,4.0
3982,6.8,0.61,0.09,2.8,0.077,11.0,26.0,0.99527,3.42,0.52,10.5,6.0
3983,9.2,0.44,0.29,2.3,0.109,34.0,84.0,0.9982,3.18,0.6,9.5,5.0
3984,6.0,0.59,0.0,1.8,0.076,9.0,21.0,0.99489,3.36,0.84,11.4,4.0
3985,6.2,0.64,0.08,1.8,0.05,17.0,74.0,0.9973,3.41,0.58,12.5,5.0
3986,7.2,0.41,0.3,1.7,0.086,13.0,49.0,0.99498,3.38,0.59,9.5,5.0
3987,10.9,0.34,0.51,2.7,0.0819999999999999,17.0,28.0,0.99588,3.08,0.66,11.2,6.0
3988,7.1,0.61,0.1,2.2,0.093,10.0,24.0,0.99467,3.41,0.93,11.2,7.0
3989,10.0,0.28,0.49,1.8,0.087,4.0,9.0,0.9994,3.19,0.61,10.9,6.0
3990,9.3,0.56,0.24,2.8,0.066,17.0,86.0,0.9987,3.28,0.58,9.4,5.0
3991,6.8,0.685,0.1,2.2,0.066,14.0,24.0,0.99735,3.48,0.57,12.8,8.0
3992,7.5,0.45,0.36,1.9,0.095,12.0,22.0,0.9982,3.29,0.85,9.4,6.0
3993,7.6,0.63,0.21,2.0,0.0819999999999999,17.0,41.0,0.99655,3.3,0.59,9.2,5.0
3994,7.1,0.44,0.23,1.9,0.067,9.0,40.0,0.9982,3.54,0.49,11.3,6.0
3995,8.6,0.59,0.49,2.2,0.062,19.0,66.0,0.99656,3.26,0.61,11.4,7.0
3996,8.2,0.61,0.01,5.1,0.071,6.0,24.0,0.9976,3.39,0.73,9.5,6.0
3997,7.3,0.49,0.24,2.8,0.075,13.0,31.0,0.9976,3.39,0.64,11.0,6.0
3998,7.9,0.78,0.0,2.7,0.093,6.0,20.0,0.99498,3.39,0.54,9.2,5.0
3999,7.0,0.56,0.03,2.3,0.074,13.0,34.0,0.9956,3.19,0.56,9.8,5.0
4000,8.8,0.39,0.43,1.9,0.094,12.0,27.0,0.996,3.38,0.8,9.3,6.0
4001,8.4,0.58,0.08,2.0,0.069,13.0,28.0,0.9958,3.5,0.75,9.8,4.0
4002,6.9,0.45,0.0,2.3,0.039,16.0,37.0,0.9962,3.41,0.57,12.0,7.0
4003,9.9,0.35,0.47,2.1,0.073,9.0,26.0,0.99572,3.2,0.61,9.5,5.0
4004,7.7,0.61,0.02,2.6,0.078,5.0,10.0,0.99656,3.51,0.61,12.8,7.0
4005,8.8,0.52,0.26,1.8,0.074,6.0,32.0,0.9962,3.26,0.52,10.8,6.0
4006,5.0,0.58,0.1,2.2,0.069,29.0,42.0,0.9959,3.35,0.58,10.0,5.0
4007,9.0,0.55,0.24,2.6,0.073,10.0,31.0,0.9983,3.41,0.6,9.8,6.0
4008,7.0,0.59,0.13,2.1,0.087,17.0,119.0,0.99572,3.37,0.52,9.7,5.0
4009,11.7,0.31,0.49,2.2,0.098,6.0,17.0,0.99578,3.2,0.5,10.5,8.0
4010,7.1,0.51,0.12,2.1,0.076,19.0,47.0,0.9968,3.35,0.6,9.7,5.0
4011,8.9,0.78,0.24,1.6,0.0579999999999999,3.0,15.0,0.997,3.39,0.59,10.8,5.0
4012,6.9,0.48,0.31,2.2,0.1169999999999999,19.0,58.0,0.9963,3.36,0.82,11.3,6.0
4013,7.3,0.44,0.3,2.2,0.0559999999999999,9.0,22.0,0.9964,3.19,0.61,9.8,5.0
4014,9.1,0.655,0.0,2.0,0.077,7.0,15.0,0.9974,3.25,0.56,9.1,5.0
4015,11.6,0.41,0.65,2.0,0.077,5.0,19.0,0.9972,3.35,0.76,11.8,7.0
4016,12.4,0.54,0.48,2.2,0.062,6.0,32.0,0.9994,3.27,0.74,10.4,5.0
4017,6.4,0.41,0.12,1.7,0.07,6.0,24.0,0.9967,3.54,0.78,9.7,5.0
4018,12.0,0.47,0.49,2.0,0.0819999999999999,5.0,12.0,1.001,3.16,0.52,10.3,7.0
4019,10.1,0.34,0.53,1.9,0.066,15.0,35.0,0.99516,3.12,0.83,10.1,6.0
4020,9.4,0.49,0.24,2.1,0.079,15.0,44.0,0.99562,3.27,0.68,10.4,6.0
4021,7.1,0.39,0.36,2.3,0.079,6.0,12.0,0.9978,3.15,0.48,10.6,6.0
4022,6.9,0.6,0.18,2.0,0.084,6.0,20.0,0.9964,3.43,0.54,10.0,5.0
4023,9.2,0.54,0.26,2.8,0.078,10.0,24.0,0.99692,3.4,0.72,10.8,6.0
4024,7.5,0.61,0.13,2.2,0.076,12.0,31.0,0.9976,3.29,0.55,10.8,5.0
4025,7.2,0.54,0.21,1.6,0.071,10.0,28.0,0.99576,3.34,0.55,9.6,5.0
4026,8.1,0.33,0.33,2.2,0.076,15.0,20.0,0.9976,3.17,0.61,10.9,7.0
4027,11.6,0.33,0.49,2.2,0.076,5.0,27.0,0.9976,3.27,0.73,9.5,6.0
4028,8.9,0.44,0.26,1.8,0.049,15.0,38.0,0.99635,3.28,0.55,10.9,5.0
4029,12.3,0.41,0.49,2.1,0.077,3.0,10.0,0.9974,3.26,0.76,10.9,6.0
4030,7.0,0.67,0.08,2.3,0.074,10.0,23.0,0.9982,3.48,0.62,9.4,5.0
4031,8.4,0.38,0.28,2.0,0.08,14.0,28.0,0.9966,3.47,0.58,9.4,5.0
4032,7.0,0.735,0.25,2.6,0.074,27.0,88.0,0.9984,3.36,0.58,9.5,4.0
4033,9.6,0.44,0.35,2.1,0.077,12.0,28.0,0.9962,3.31,0.62,11.4,6.0
4034,9.5,0.715,0.24,2.3,0.0819999999999999,6.0,22.0,0.9988,3.29,0.52,10.7,5.0
4035,7.9,0.36,0.31,1.7,0.077,15.0,43.0,0.99572,3.39,0.67,11.2,6.0
4036,7.0,0.63,0.0,1.5,0.078,6.0,14.0,0.9978,3.55,0.63,9.8,6.0
4037,8.2,0.56,0.3,2.0,0.0819999999999999,6.0,23.0,0.9998,3.16,0.56,10.7,4.0
4038,7.3,0.645,0.0,2.3,0.066,3.0,17.0,0.998,3.3,0.52,11.0,5.0
4039,9.1,0.43,0.44,2.0,0.074,13.0,28.0,0.99498,3.3,0.64,10.9,5.0
4040,9.3,0.32,0.49,2.2,0.063,20.0,49.0,0.9987,3.27,0.55,10.0,6.0
4041,7.9,0.53,0.08,2.2,0.066,21.0,64.0,0.9962,3.24,0.57,9.2,6.0
4042,7.9,0.43,0.24,2.1,0.0579999999999999,35.0,147.0,0.9967,3.59,0.55,9.9,6.0
4043,10.0,0.41,0.53,2.1,0.093,11.0,21.0,0.9976,3.4,0.65,12.4,8.0
4044,7.9,0.5,0.24,2.0,0.078,32.0,52.0,0.9966,3.3,0.56,9.4,6.0
4045,9.1,0.35,0.4,1.9,0.074,6.0,20.0,0.99668,3.39,0.64,9.8,5.0
4046,7.1,0.48,0.28,1.7,0.08,11.0,47.0,0.9955,3.3,0.45,9.4,6.0
4047,12.5,0.35,0.49,5.6,0.073,16.0,29.0,1.0,3.17,0.82,10.3,7.0
4048,7.2,0.85,0.03,2.5,0.079,5.0,29.0,0.9961,2.89,0.73,10.7,8.0
4049,12.6,0.39,0.49,2.0,0.078,14.0,44.0,0.9994,3.17,0.99,11.8,7.0
4050,7.0,0.6,0.3,1.8,0.074,21.0,54.0,0.9968,3.31,0.57,10.0,6.0
4051,7.7,0.645,0.12,2.2,0.079,32.0,71.0,0.99478,3.33,0.74,9.5,6.0
4052,8.2,0.5,0.14,1.6,0.072,16.0,72.0,0.9972,3.37,0.62,9.5,5.0
4053,7.1,0.4,0.49,2.1,0.0969999999999999,7.0,22.0,0.99655,3.21,0.53,11.4,6.0
4054,9.9,0.46,0.26,2.3,0.071,10.0,48.0,0.9962,3.41,0.64,9.4,5.0
4055,8.6,0.58,0.1,2.3,0.0819999999999999,23.0,48.0,0.9984,3.19,0.55,9.2,6.0
4056,7.7,0.57,0.32,1.7,0.086,11.0,28.0,0.9956,3.47,0.52,9.7,6.0
4057,7.0,0.56,0.31,2.1,0.08,17.0,109.0,0.99577,3.23,0.73,9.6,6.0
4058,6.7,0.63,0.02,1.7,0.081,15.0,47.0,0.99586,3.31,0.66,10.5,5.0
4059,9.0,0.49,0.3,2.5,0.081,15.0,61.0,0.9981,3.39,0.59,9.8,6.0
4060,6.3,0.62,0.0,1.7,0.0819999999999999,6.0,15.0,0.99586,3.45,0.68,11.2,6.0
4061,11.4,0.28,0.68,2.8,0.089,5.0,13.0,0.99786,3.15,0.56,11.7,6.0
4062,7.1,0.645,0.19,2.4,0.104,17.0,77.0,0.99658,3.34,0.62,9.5,5.0
4063,6.9,0.39,0.33,1.9,0.081,5.0,23.0,0.99562,3.39,0.82,10.5,6.0
4064,7.1,0.6,0.08,4.5,0.074,5.0,14.0,0.99768,3.42,0.56,9.6,5.0
4065,8.1,0.36,0.28,2.4,0.0819999999999999,18.0,102.0,0.9988,3.43,0.49,9.7,5.0
4066,8.2,0.61,0.47,1.9,0.078,8.0,24.0,0.99498,3.29,0.77,9.5,6.0
4067,7.3,0.61,0.0,2.1,0.0819999999999999,13.0,37.0,0.99668,3.52,0.93,9.5,5.0
4068,6.6,0.56,0.02,1.9,0.086,9.0,21.0,0.99588,3.36,0.48,11.1,6.0
4069,9.0,0.32,0.31,2.0,0.062,5.0,23.0,0.99914,3.33,0.64,9.7,6.0
4070,12.3,0.31,0.49,2.4,0.066,3.0,10.0,1.0001,3.26,0.61,9.0,5.0
4071,7.1,0.32,0.49,2.8,0.078,15.0,28.0,0.99708,3.22,0.63,11.3,7.0
4072,6.8,0.63,0.0,2.0,0.07,6.0,20.0,0.9967,3.44,0.52,10.8,5.0
4073,8.5,0.36,0.42,2.4,0.065,5.0,14.0,0.9984,3.36,0.73,9.5,5.0
4074,6.7,0.685,0.0,1.8,0.074,15.0,27.0,0.998,3.32,0.49,9.5,5.0
4075,7.9,0.59,0.4,1.3,0.078,11.0,24.0,0.99354,3.27,0.54,9.4,5.0
4076,6.0,0.46,0.41,1.9,0.074,14.0,17.0,0.9968,3.27,0.65,10.6,5.0
4077,7.7,0.47,0.23,2.4,0.08,16.0,86.0,0.99572,3.18,0.72,9.0,7.0
4078,10.8,0.4,0.5,1.8,0.079,10.0,28.0,0.99572,3.32,0.6,11.1,5.0
4079,6.4,0.57,0.12,2.0,0.081,8.0,17.0,0.9973,3.34,0.64,11.1,6.0
4080,10.0,0.67,0.22,2.2,0.07,17.0,77.0,0.9968,3.12,0.57,9.8,5.0
4081,9.0,0.41,0.42,2.3,0.08,6.0,12.0,0.9987,3.24,0.64,10.1,5.0
4082,7.2,0.58,0.0,2.0,0.074,5.0,13.0,0.9962,3.34,0.58,9.8,6.0
4083,6.0,0.41,0.3,2.2,0.081,33.0,52.0,0.9973,3.46,0.54,11.6,6.0
4084,11.6,0.47,0.45,2.0,0.079,5.0,21.0,0.9964,3.17,0.56,10.1,7.0
4085,10.6,0.5,0.44,2.6,0.076,3.0,15.0,0.9994,3.21,0.66,9.4,5.0
4086,11.6,0.27,0.28,2.2,0.078,4.0,9.0,0.9956,3.28,0.52,10.4,6.0
4087,7.2,0.32,0.34,2.6,0.066,19.0,36.0,0.9958,3.21,0.77,12.2,3.0
4088,6.2,0.51,0.03,2.2,0.066,5.0,13.0,0.99258,3.21,0.56,10.9,5.0
4089,6.7,0.865,0.0,1.8,0.074,18.0,28.0,0.99516,3.53,0.54,9.4,5.0
4090,7.5,0.58,0.15,2.0,0.072,6.0,20.0,0.9968,3.24,0.63,9.9,5.0
4091,7.9,0.67,0.0,2.6,0.068,28.0,58.0,0.99633,3.58,0.54,10.0,6.0
4092,6.3,0.59,0.0,2.4,0.071,17.0,92.0,0.9964,3.57,0.76,9.5,5.0
4093,10.6,0.46,0.49,2.4,0.077,6.0,15.0,0.9978,3.21,0.62,9.7,5.0
4094,7.7,0.27,0.34,2.1,0.0819999999999999,27.0,42.0,0.9968,3.38,0.57,10.3,6.0
4095,6.6,0.6,0.0,1.8,0.095,21.0,55.0,0.9963,3.44,0.77,11.0,6.0
4096,8.5,0.42,0.49,2.3,0.079,4.0,13.0,0.9948,3.12,0.47,9.4,7.0
4097,11.9,0.33,0.43,2.2,0.074,12.0,31.0,0.9991,3.28,0.93,10.6,6.0
4098,9.1,0.66,0.0,2.1,0.079,25.0,54.0,0.9974,3.24,0.53,10.6,5.0
4099,8.7,0.5,0.49,2.4,0.077,24.0,46.0,0.9987,3.28,0.82,10.5,7.0
4100,7.2,0.41,0.4,2.5,0.084,21.0,48.0,0.9991,3.47,0.59,9.4,5.0
4101,8.6,0.46,0.49,2.0,0.1119999999999999,16.0,89.0,0.9994,3.21,0.61,10.0,5.0
4102,8.9,0.44,0.54,3.0,0.085,6.0,22.0,0.9986,3.22,0.87,9.5,5.0
4103,7.1,0.42,0.31,2.0,0.095,14.0,49.0,0.99736,3.35,0.55,9.4,6.0
4104,8.4,0.3,0.28,2.0,0.084,19.0,66.0,0.9964,3.2,0.6,9.3,5.0
4105,8.5,0.66,0.29,2.2,0.08,6.0,16.0,0.99444,3.27,0.63,11.0,7.0
4106,12.5,0.39,0.65,1.8,0.114,14.0,36.0,0.99498,3.28,0.62,10.2,8.0
4107,9.7,0.67,0.24,2.2,0.0819999999999999,26.0,46.0,0.9972,3.26,0.56,9.7,8.0
4108,7.8,0.52,0.04,2.3,0.084,5.0,10.0,0.9976,3.35,0.54,9.8,5.0
4109,9.4,0.31,0.49,2.3,0.094,17.0,24.0,0.9966,3.32,0.73,9.9,6.0
4110,6.2,0.64,0.0,2.0,0.068,23.0,69.0,0.9974,3.51,0.55,10.2,5.0
4111,7.5,0.78,0.0,2.2,0.072,16.0,38.0,0.99572,3.49,0.79,9.5,6.0
4112,6.6,0.68,0.0,2.5,0.076,15.0,38.0,0.9982,3.17,0.64,9.3,5.0
4113,7.6,0.36,0.44,2.4,0.076,12.0,28.0,0.9961,3.36,0.6,10.0,5.0
4114,8.4,0.4,0.3,2.3,0.077,6.0,14.0,0.9958,3.34,0.6,10.8,5.0
4115,7.7,0.695,0.1,2.2,0.076,3.0,9.0,0.99592,3.42,0.63,9.5,6.0
4116,7.6,0.76,0.26,2.4,0.087,12.0,24.0,0.99572,3.28,0.61,9.9,6.0
4117,9.3,0.43,0.42,2.6,0.1,26.0,46.0,0.99444,3.31,0.86,12.5,6.0
4118,7.0,0.57,0.03,2.0,0.079,6.0,14.0,0.9983,3.35,0.9,9.5,6.0
4119,7.8,0.53,0.31,2.0,0.049,17.0,84.0,0.9968,3.17,0.55,9.3,6.0
4120,6.1,0.43,0.0,1.8,0.084,18.0,47.0,0.99444,3.28,0.56,10.1,6.0
4121,8.0,0.5,0.31,2.5,0.073,4.0,9.0,0.9964,3.41,0.7,10.4,5.0
4122,7.8,0.66,0.15,1.8,0.092,35.0,110.0,0.99702,3.59,0.66,10.9,5.0
4123,7.8,0.45,0.32,2.6,0.132,31.0,127.0,0.99734,3.26,0.55,9.9,5.0
4124,7.2,0.59,0.0,2.6,0.0819999999999999,6.0,28.0,0.9984,3.4,0.69,9.8,6.0
4125,7.6,0.67,0.03,2.1,0.074,10.0,23.0,0.9962,3.42,0.56,11.9,5.0
4126,11.6,0.43,0.44,2.3,0.07,9.0,31.0,0.9963,3.28,0.78,9.8,6.0
4127,9.1,0.49,0.49,2.0,0.08,6.0,15.0,0.9994,3.38,0.57,9.4,6.0
4128,9.4,0.6,0.24,2.1,0.0819999999999999,16.0,89.0,0.9964,3.38,0.52,9.5,5.0
4129,9.1,0.58,0.44,2.1,0.077,9.0,20.0,0.9962,3.26,0.7,12.3,6.0
4130,8.9,0.48,0.26,2.6,0.076,15.0,34.0,0.997,3.24,0.57,10.9,6.0
4131,10.0,0.5,0.39,2.3,0.07,6.0,20.0,0.9994,3.4,0.63,10.4,4.0
4132,6.6,0.44,0.0,2.0,0.074,19.0,53.0,0.9988,3.17,0.68,9.4,6.0
4133,9.2,0.31,0.49,2.3,0.0819999999999999,6.0,14.0,0.9994,3.23,0.76,11.2,7.0
4134,9.3,0.24,0.42,2.1,0.084,20.0,110.0,0.99622,3.18,0.84,9.6,7.0
4135,7.1,0.5,0.48,2.1,0.075,6.0,21.0,0.99588,3.26,0.97,11.4,6.0
4136,6.7,0.34,0.26,2.6,0.079,8.0,19.0,0.99652,3.43,0.78,9.5,5.0
4137,7.8,0.4,0.24,2.5,0.077,25.0,129.0,0.99538,3.28,0.62,9.8,5.0
4138,6.9,0.52,0.04,2.0,0.078,16.0,67.0,0.9988,3.39,0.53,11.4,7.0
4139,10.5,0.45,0.49,1.9,0.076,14.0,34.0,0.99586,3.36,0.58,11.3,5.0
4140,7.1,0.52,0.23,2.6,0.077,3.0,42.0,0.9972,3.39,0.6,9.8,5.0
4141,10.1,0.24,0.45,2.1,0.074,7.0,10.0,0.9961,3.19,0.73,11.3,6.0
4142,6.4,0.65,0.01,2.2,0.078,7.0,18.0,0.99552,3.22,0.56,10.2,7.0
4143,6.6,0.52,0.07,2.0,0.073,14.0,28.0,0.99612,3.35,0.48,10.4,7.0
4144,7.2,0.59,0.0,1.8,0.078,10.0,19.0,0.99444,3.1,0.7,11.3,7.0
4145,6.8,0.59,0.06,2.0,0.083,11.0,25.0,0.9961,3.44,0.55,9.1,5.0
4146,9.9,0.4,0.29,3.0,0.09,8.0,29.0,0.998,3.39,0.61,9.8,6.0
4147,5.0,0.5,0.08,2.1,0.083,15.0,41.0,0.9994,3.51,0.79,9.4,6.0
4148,9.9,0.55,0.24,2.4,0.067,4.0,11.0,0.9997,3.28,0.62,10.8,7.0
4149,7.9,0.57,0.01,2.1,0.0819999999999999,8.0,18.0,0.9956,3.12,0.57,9.5,7.0
4150,6.7,0.28,0.48,2.3,0.093,18.0,38.0,0.9964,3.28,0.63,10.9,5.0
4151,7.8,0.49,0.13,2.5,0.084,15.0,35.0,0.9974,3.2,0.49,9.6,5.0
4152,8.0,0.51,0.22,2.1,0.063,7.0,22.0,0.9962,3.2,0.54,10.5,5.0
4153,5.6,0.31,0.49,1.8,0.102,3.0,7.0,0.9962,3.14,0.65,11.3,5.0
4154,6.8,0.58,0.02,2.3,0.063,12.0,37.0,0.9964,3.36,0.57,10.7,6.0
4155,11.2,0.39,0.49,2.3,0.075,11.0,19.0,0.99786,3.32,0.76,10.4,6.0
4156,6.9,0.56,0.01,1.9,0.083,5.0,14.0,0.99534,3.42,0.53,14.0,6.0
4157,7.5,0.62,0.0,2.3,0.073,16.0,37.0,0.9963,3.48,0.48,9.7,4.0
4158,6.8,0.4,0.3,5.5,0.0819999999999999,29.0,58.0,0.9976,3.33,0.52,9.4,6.0
4159,8.9,0.33,0.44,1.8,0.086,6.0,22.0,0.99708,3.18,0.56,9.5,6.0
4160,6.2,0.6,0.03,2.2,0.0969999999999999,12.0,45.0,0.9965,3.35,0.52,10.0,8.0
4161,8.9,0.69,0.24,3.4,0.072,5.0,15.0,0.9962,3.19,0.53,10.0,6.0
4162,7.4,0.725,0.08,2.9,0.084,8.0,22.0,0.99462,3.29,0.68,11.3,7.0
4163,6.6,0.645,0.0,2.3,0.078,5.0,16.0,0.9978,3.17,0.56,11.2,6.0
4164,12.6,0.35,0.55,2.1,0.077,14.0,31.0,0.9972,3.19,0.62,10.1,5.0
4165,11.2,0.51,0.41,2.8,0.0819999999999999,18.0,42.0,0.99622,3.17,0.72,10.5,5.0
4166,11.1,0.34,0.58,2.2,0.106,12.0,28.0,0.9988,3.02,0.68,9.7,5.0
4167,8.8,0.52,0.09,1.9,0.073,17.0,37.0,0.9984,3.24,0.6,9.7,6.0
4168,7.3,0.4,0.26,2.3,0.08,8.0,17.0,0.9991,3.34,0.66,11.2,7.0
4169,9.3,0.59,0.22,2.0,0.074,16.0,29.0,0.9976,3.33,0.49,9.9,5.0
4170,7.1,0.56,0.24,2.8,0.088,6.0,14.0,0.99642,3.41,0.54,10.0,6.0
4171,7.1,0.66,0.07,2.4,0.086,27.0,77.0,0.99765,3.3,0.61,9.5,5.0
4172,7.3,0.52,0.09,2.8,0.075,10.0,67.0,0.99584,3.39,0.5,9.6,5.0
4173,6.0,0.47,0.02,1.8,0.079,18.0,38.0,0.99608,3.39,0.54,10.4,6.0
4174,7.1,0.61,0.22,2.6,0.075,27.0,59.0,0.99608,3.29,0.73,10.5,5.0
4175,7.0,0.53,0.01,2.5,0.0559999999999999,36.0,76.0,0.99836,3.32,0.62,9.5,5.0
4176,11.8,0.6,0.49,2.9,0.09,17.0,49.0,0.9972,3.15,0.59,10.3,5.0
4177,8.4,0.36,0.21,2.3,0.067,13.0,45.0,0.99562,3.3,0.61,9.0,5.0
4178,10.2,0.34,0.54,2.6,0.072,10.0,39.0,0.9967,3.37,0.74,10.0,5.0
4179,8.3,0.52,0.31,2.7,0.0819999999999999,18.0,86.0,0.9967,3.31,0.53,9.8,5.0
4180,8.0,0.5,0.0,2.5,0.066,7.0,13.0,0.9968,3.39,0.48,9.8,4.0
4181,8.7,0.29,0.43,2.5,0.081,11.0,25.0,0.9956,3.33,0.54,11.1,5.0
4182,7.2,0.43,0.26,2.1,0.085,8.0,24.0,0.9962,3.2,0.52,10.9,5.0
4183,8.9,0.32,0.31,2.8,0.07,16.0,77.0,0.9972,3.28,0.56,9.9,5.0
4184,7.9,0.6,0.02,2.0,0.08,5.0,11.0,0.9978,3.4,0.51,11.9,7.0
4185,10.0,0.5,0.5,2.0,0.066,7.0,29.0,0.9954,3.2,0.63,12.0,7.0
